Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,2.12766,0.5319149,0.5291005,1.587302,2.01005,1.941748,2.427185,1.449275,1.449275,0.4807692,0.4739336,1.421801,1.421801,1.895735,1.421801,2.857143,0.952381,0.952381,0.4761905,0.4761905
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4753152,0.4353236,0.4556421,0.4386366,0.3504379,0.3051023,0.3040168,0.2898833,0.3081072,0.3107432,0.2938249,0.2820698,0.2738843,0.2438815,0.2457412,0.2088946,0.2156042,0.219708,0.2279944,0.2277857
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-2.09033,-2.087256,-2.109626,-1.804449,-1.430002,-1.505863,-1.637369,-1.667902,-1.688257,-1.621583,-1.674311,-1.532861,-1.540586,-1.193118,-1.193137,-1.118182,-0.9973711,-1.327688,-1.339227,-1.132634
Afghanistan,AFG,Regulatory Quality: Number of Sources,RQ.NO.SRC,1,1,1,2,2,4,4,5,4,5,6,6,6,8,9,9,9,9,9,9
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,1.630435,2.590674,1.538462,3.061224,5.612245,5.418719,3.431373,2.941176,2.912621,3.398058,3.349282,5.263158,4.265403,10.90047,10.90047,11.05769,14.42308,7.211538,6.730769,10.57692
Afghanistan,AFG,Regulatory Quality: Standard Error,RQ.STD.ERR,0.3863604,0.4513973,0.4266121,0.3052726,0.2357035,0.2247376,0.1828545,0.2177992,0.2408837,0.2104985,0.1910165,0.1867443,0.1844583,0.1835645,0.1761271,0.1916864,0.1852201,0.1963836,0.1904602,0.1935247
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.788075,-1.73714,-1.778437,-1.670823,-1.553829,-1.697143,-1.658668,-1.863189,-1.829666,-1.86438,-1.847092,-1.845436,-1.896632,-1.643165,-1.597314,-1.445648,-1.50404,-1.49819,-1.569692,-1.668478
Afghanistan,AFG,Rule of Law: Number of Sources,RL.NO.SRC,3,3,3,4,4,6,7,9,8,9,10,10,10,11,12,11,11,11,11,11
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,1.507538,2,1.485149,1.980198,3.960396,2.870813,1.913876,0.4784689,0.9569378,0.4807692,0.9478673,0.4739336,0.4694836,1.408451,1.408451,4.326923,3.365385,5.769231,4.807693,4.326923
Afghanistan,AFG,Rule of Law: Standard Error,RL.STD.ERR,0.3505094,0.3315707,0.2940169,0.2994065,0.3039598,0.2159792,0.2060798,0.2013116,0.253809,0.2222655,0.1814506,0.1814077,0.1745175,0.1662327,0.1591168,0.1745922,0.1729322,0.1748664,0.164038,0.1587239
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.90854,-2.039301,-2.031417,-1.433421,-1.177571,-1.203034,-1.12543,-1.110294,-1.057654,-1.168902,-1.375497,-1.404468,-1.335977,-1.26743,-1.240068,-1.135445,-1.117563,-1.039843,-0.9924697,-0.9947197
Afghanistan,AFG,Voice and Accountability: Number of Sources,VA.NO.SRC,4,4,4,6,5,7,8,9,10,10,10,10,10,11,12,10,10,10,10,10
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,1,0.4975124,0.9950249,9.452736,14.42786,15.38461,14.90385,17.78846,18.75,14.42308,9.478673,9.952606,11.26761,14.08451,14.55399,16.25616,18.71921,20.68966,22.16749,20.68966
Afghanistan,AFG,Voice and Accountability: Standard Error,VA.STD.ERR,0.2614571,0.2560896,0.2540425,0.1894534,0.2070454,0.1755902,0.1732953,0.1501664,0.1455052,0.143899,0.1477149,0.1432547,0.1438009,0.1347571,0.1234084,0.132239,0.1346303,0.1299292,0.1307671,0.1348217
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.8939035,-1.033112,-0.8572564,-0.868602,-0.8122751,-0.6991984,-0.7861931,-0.803845,-0.687789,-0.5937066,-0.5384951,-0.5250779,-0.6830084,-0.7265007,-0.6986033,-0.5481988,-0.4790328,-0.405266,-0.418309,-0.5218667
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.6885879,-0.6313924,-0.7551177,-0.5333483,-0.5382094,-0.4158677,-0.6594524,-0.5236022,-0.4066241,-0.3567637,-0.2578982,-0.2827555,-0.208207,-0.2677997,-0.3169199,-0.0855579,0.0102911,0.0132704,0.0837741,0.114788
Albania,ALB,Government Effectiveness: Number of Sources,GE.NO.SRC,2,3,4,5,5,6,7,9,9,9,9,9,9,10,10,9,9,8,8,7
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,25.68306,24.87047,23.07692,34.69388,35.20408,42.36453,31.37255,35.60976,42.23301,44.17476,47.84689,44.49761,47.8673,46.4455,45.49763,50,53.84615,52.88462,55.76923,57.69231
Albania,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,3,5,6,6,7,9,10,12,12,12,12,12,13,14,13,12,12,12,12,11
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,19.35484,14.43299,23.85787,23.73737,24.24242,27.31707,22.92683,22.92683,28.64078,33.49514,35.4067,36.19048,26.54029,27.48815,27.01422,34.61538,38.46154,40.86538,42.30769,35.09615
Albania,ALB,Control of Corruption: Standard Error,CC.STD.ERR,0.315914,0.2237249,0.2161122,0.2062487,0.1895081,0.1728383,0.153501,0.1465164,0.14885,0.1397606,0.1445861,0.1408622,0.1361544,0.1243086,0.1278163,0.1291327,0.1297594,0.133382,0.1231133,0.1360668
Albania,ALB,Government Effectiveness: Standard Error,GE.STD.ERR,0.1816614,0.2417249,0.2467369,0.2170619,0.2377552,0.2390393,0.2003811,0.1868902,0.2083305,0.2106728,0.2071341,0.2085125,0.2067748,0.1984371,0.1958892,0.2158914,0.2163988,0.2055892,0.2093909,0.22757
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3338114,-0.5427064,-0.5379785,-0.2945781,-0.3088242,-0.4283776,-0.5071405,-0.5083324,-0.203224,-0.0308189,-0.0452486,-0.1914829,-0.2823794,-0.1436316,0.0919298,0.4859862,0.3461291,0.3446447,0.3783687,0.3821
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,3,3,3,3,3,4,5,6,6,6,6,6,7,8,8,8,8,8,8,8
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,35.6383,28.7234,29.62963,34.39153,36.1809,30.09709,29.61165,29.95169,37.68116,43.26923,42.1801,38.38863,37.44076,40.28436,49.2891,61.42857,58.09524,58.09524,60.47619,58.57143
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4219024,0.381321,0.397162,0.3945794,0.3311687,0.3166145,0.3011172,0.2741809,0.2626058,0.2640872,0.2652642,0.2604739,0.2508663,0.2219843,0.2280198,0.1963862,0.2029834,0.2077957,0.2159105,0.2157381
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,-0.4744017,-0.1730493,-0.2543595,-0.2246936,-0.4475814,-0.1657453,-0.3718735,-0.1017605,0.0606124,0.1475397,0.2382841,0.2294774,0.232936,0.1991688,0.2097187,0.2219903,0.1866678,0.1890221,0.223032,0.2817102
Albania,ALB,Regulatory Quality: Number of Sources,RQ.NO.SRC,4,5,6,7,7,8,9,10,10,10,10,10,11,12,12,11,11,10,9,8
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,30.43478,44.55959,40.51282,45.40816,38.2653,48.76847,43.62745,51.47059,55.33981,55.82524,58.37321,57.89474,57.34597,57.34597,57.8199,60.09615,59.13462,60.57692,62.01923,63.46154
Albania,ALB,Regulatory Quality: Standard Error,RQ.STD.ERR,0.3273613,0.2981825,0.2777828,0.225168,0.1866354,0.1878622,0.1640617,0.1800073,0.1814753,0.1783554,0.1695083,0.1659291,0.1593378,0.1670317,0.1684451,0.1801694,0.1746228,0.1779754,0.1842517,0.2076896
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.6844818,-0.9243252,-1.00878,-0.7621468,-0.7231404,-0.6877728,-0.7363358,-0.684769,-0.6462957,-0.5886946,-0.5004299,-0.407376,-0.4553711,-0.5203165,-0.5180176,-0.337862,-0.3282292,-0.3288673,-0.401743,-0.392243
Albania,ALB,Rule of Law: Number of Sources,RL.NO.SRC,6,7,9,10,10,11,12,14,14,14,14,15,16,17,16,14,14,12,12,11
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,28.64322,19.5,18.81188,27.22772,28.21782,28.70813,28.70813,28.70813,30.62201,34.61538,38.38863,41.23223,41.31455,39.43662,39.43662,43.26923,44.23077,41.82692,38.94231,39.42308
Albania,ALB,Rule of Law: Standard Error,RL.STD.ERR,0.2466153,0.2365784,0.2097745,0.2014236,0.2016688,0.1837513,0.1813111,0.1537002,0.1521217,0.1461883,0.1405297,0.1349392,0.1287966,0.1234261,0.1263962,0.1335103,0.1355729,0.1547254,0.1446907,0.145667
Albania,ALB,Voice and Accountability: Estimate,VA.EST,-0.6482978,-0.3873729,-0.2851387,-0.0081502,0.0703077,0.0072375,0.0036718,0.0758899,0.1130085,0.1749391,0.1414773,0.1238216,0.0623338,0.0220641,0.0488926,0.1437607,0.1571487,0.1699492,0.202283,0.2063695
Albania,ALB,Voice and Accountability: Number of Sources,VA.NO.SRC,5,5,6,7,8,9,11,13,13,13,13,14,15,16,15,12,12,12,12,12
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,29.5,38.80597,41.29353,48.25871,50.24876,49.03846,51.44231,49.03846,51.92308,53.36538,54.02843,54.02843,52.11267,50.70422,51.17371,50.2463,52.70936,52.21675,54.18719,53.20197
Albania,ALB,Voice and Accountability: Standard Error,VA.STD.ERR,0.2254109,0.2337635,0.1964206,0.1691319,0.167301,0.1752751,0.1719998,0.1353045,0.134594,0.1343131,0.1369838,0.1305629,0.126827,0.1178716,0.1177323,0.1248963,0.1273109,0.1227101,0.1242667,0.1280458
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.5667409,-0.8817795,-0.9379111,-0.8756811,-0.6922612,-0.679478,-0.482172,-0.5213351,-0.5599289,-0.5945694,-0.5778834,-0.5248498,-0.5445848,-0.5032176,-0.4734841,-0.600029,-0.6455669,-0.6778925,-0.6041752,-0.636465
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-1.088766,-0.8290017,-0.963841,-0.5975198,-0.6123729,-0.5726308,-0.4675675,-0.4726413,-0.5657254,-0.6265267,-0.5829369,-0.4795416,-0.5646155,-0.5323191,-0.5341949,-0.4775529,-0.5008814,-0.5311597,-0.5891593,-0.4439246
Algeria,DZA,Government Effectiveness: Number of Sources,GE.NO.SRC,3,5,5,6,7,8,8,10,10,9,9,9,10,10,11,11,11,11,11,10
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,13.11475,19.68912,14.87179,31.12245,31.12245,34.48276,39.21569,38.04878,32.52427,31.06796,35.4067,38.75598,36.01896,35.07109,35.07109,35.09615,35.57692,35.57692,30.76923,37.01923
Algeria,DZA,Control of Corruption: Number of Sources,CC.NO.SRC,4,6,6,6,8,10,10,11,12,12,12,12,13,14,14,13,12,12,11,9
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,33.33333,22.16495,18.78173,23.23232,28.78788,27.80488,40,36.58537,34.46602,33.00971,33.49282,36.66667,35.07109,37.44076,39.33649,32.21154,29.80769,27.88461,30.28846,28.36539
Algeria,DZA,Control of Corruption: Standard Error,CC.STD.ERR,0.2620766,0.2117292,0.2200078,0.1961948,0.1795699,0.1645404,0.1655532,0.1533578,0.1573655,0.1574203,0.164047,0.1611677,0.1530673,0.1484373,0.1493271,0.1466374,0.1464922,0.1496032,0.13803,0.1556377
Algeria,DZA,Government Effectiveness: Standard Error,GE.STD.ERR,0.1739037,0.2031547,0.2112371,0.1869344,0.1776029,0.1696814,0.1714315,0.1731471,0.1939384,0.1957161,0.1910841,0.1960981,0.1932742,0.1935983,0.1748714,0.1883847,0.1816675,0.1765621,0.1844468,0.1942946
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.780031,-1.875876,-1.43201,-1.633234,-1.753627,-1.359521,-0.9152133,-1.126453,-1.14836,-1.093989,-1.197078,-1.259368,-1.360561,-1.325043,-1.202371,-1.190535,-1.09016,-1.097526,-0.9156688,-0.7937849
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,4,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,5.319149,4.787234,10.05291,6.878307,5.527638,10.67961,20.38835,15.45894,14.00966,14.90385,13.27014,11.84834,10.42654,9.478673,12.79621,9.523809,11.90476,12.38095,16.19048,18.57143
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3738571,0.3454628,0.342809,0.3161064,0.2924749,0.2872855,0.2786692,0.2531189,0.2441811,0.2464031,0.246402,0.2435471,0.2442496,0.2268074,0.2315082,0.2001131,0.2068148,0.2126011,0.2212373,0.2209855
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-0.9074373,-0.7448142,-0.7053858,-0.5834717,-0.5172341,-0.5441265,-0.3833986,-0.5715542,-0.622034,-0.7946138,-1.073803,-1.171034,-1.189574,-1.276868,-1.16597,-1.282962,-1.173605,-1.171879,-1.196304,-1.263752
Algeria,DZA,Regulatory Quality: Number of Sources,RQ.NO.SRC,4,6,6,7,8,9,9,10,10,9,9,9,9,9,9,9,9,9,9,8
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,20.1087,22.79793,23.07692,29.59184,32.14286,30.04926,42.64706,29.41176,27.18447,21.35922,12.91866,9.569378,9.952606,9.00474,11.84834,8.173077,10.57692,10.09615,10.57692,8.173077
Algeria,DZA,Regulatory Quality: Standard Error,RQ.STD.ERR,0.3117465,0.2692645,0.2490924,0.2111991,0.177445,0.1740582,0.1565049,0.1747774,0.1742635,0.1777998,0.1693151,0.1705693,0.1686046,0.1880518,0.1830557,0.1863263,0.1790337,0.1824037,0.1791662,0.1984809
Algeria,DZA,Rule of Law: Estimate,RL.EST,-1.218195,-1.160562,-1.211336,-0.6301586,-0.587644,-0.6209092,-0.7508321,-0.7085913,-0.7727457,-0.7414688,-0.7935362,-0.7849475,-0.8076658,-0.7722811,-0.6893736,-0.7731679,-0.8639446,-0.857401,-0.8639383,-0.7753089
Algeria,DZA,Rule of Law: Number of Sources,RL.NO.SRC,6,8,8,9,10,13,13,15,16,15,15,15,16,16,16,14,14,13,13,12
Algeria,DZA,Rule of Law: Percentile Rank,RL.PER.RNK,12.56281,12.5,11.88119,33.16832,31.68317,33.49282,28.22967,27.7512,24.88038,25.48077,23.22275,26.54029,24.41315,26.76056,30.98592,24.03846,19.23077,18.75,19.23077,22.11539
Algeria,DZA,Rule of Law: Standard Error,RL.STD.ERR,0.2124291,0.2098984,0.1756051,0.1845948,0.1798999,0.1617418,0.1567739,0.1466179,0.1466823,0.1427928,0.139011,0.1369877,0.1309755,0.1353262,0.1336843,0.1454139,0.1455704,0.1613854,0.1523742,0.1554313
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-1.16629,-1.244342,-1.110052,-1.04466,-1.076718,-0.8020591,-0.715686,-0.9168755,-0.9841224,-0.9797122,-1.038431,-1.022338,-1.004121,-0.9060266,-0.8933532,-0.8151981,-0.8490695,-0.8631691,-0.9048766,-0.9809838
Algeria,DZA,Voice and Accountability: Number of Sources,VA.NO.SRC,6,6,7,9,10,13,14,15,16,16,16,16,16,16,16,13,12,12,12,12
Algeria,DZA,Voice and Accountability: Percentile Rank,VA.PER.RNK,14.5,12.43781,14.42786,18.90547,18.90547,23.55769,25.48077,22.59615,20.19231,20.67308,17.53555,18.48341,20.18779,22.53521,23.94366,25.12315,24.63054,23.64532,23.15271,21.67488
Algeria,DZA,Voice and Accountability: Standard Error,VA.STD.ERR,0.2088098,0.2144461,0.1972829,0.159149,0.1569591,0.1377098,0.1386265,0.1139181,0.1118492,0.1095499,0.1114802,0.1101391,0.1132124,0.1155545,0.1103568,0.1273273,0.1265836,0.1244992,0.1250394,0.131522
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,0.807996,0.7969421,0.3059877,0.3136365,0.3252695,0.3524871,0.3329735,0.3177396,0.3066832,0.3099391,1.225222,1.218502,1.228779,1.840531,1.845534
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,-0.1096907,0.2305025,0.2544963,0.487176,0.5056782,0.5023152,0.4928478,0.4868821,0.4859672,0.4905606,0.441491,0.4874166,0.5313401,0.5605542,0.5514148
American Samoa,ASM,Government Effectiveness: Number of Sources,GE.NO.SRC,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,..,..,..,53.69458,62.2549,62.92683,70.38835,68.93204,69.37799,68.89952,67.77251,68.24644,69.19431,70.19231,70.19231,71.63461,71.15385,72.59615
American Samoa,ASM,Control of Corruption: Number of Sources,CC.NO.SRC,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,77.56097,77.56097,65.36585,66.50485,66.01942,68.42105,67.14286,66.82465,65.87678,65.40285,87.01923,87.01923,87.5,93.75,94.23077
American Samoa,ASM,Control of Corruption: Standard Error,CC.STD.ERR,..,..,..,..,..,0.3959056,0.3415666,0.4198855,0.4162902,0.4029876,0.4274964,0.4315847,0.418033,0.4335781,0.442314,0.42467,0.421867,0.4225169,0.4016715,0.4023822
American Samoa,ASM,Government Effectiveness: Standard Error,GE.STD.ERR,..,..,..,..,..,0.4110788,0.30696,0.4337758,0.469347,0.4522182,0.4234263,0.4493661,0.4345975,0.4002086,0.3826276,0.467869,0.4479652,0.4350327,0.4470602,0.4585745
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.7376288,0.7464869,0.7040941,0.9679514,0.9841928,0.9456341,0.9191467,0.9339902,0.9529908,0.9289858,1.080683,1.181357,1.193236,1.218604,1.205116
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,72.33009,68.4466,68.11594,80.19324,80.76923,82.46445,80.09479,74.40759,78.67299,76.77725,89.04762,91.90476,92.38095,92.85714,92.38095
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,..,..,..,..,..,0.4263886,0.445787,0.4255542,0.3829512,0.3849193,0.371912,0.3934042,0.4113351,0.344925,0.3936894,0.2914741,0.3101205,0.3209215,0.3521396,0.3255743
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,..,..,..,..,..,0.506223,0.3719929,0.3619615,0.3774178,0.3906331,0.4036857,0.3956605,0.3902979,0.3632333,0.366314,0.1808667,0.1724523,0.1366879,-0.2539806,-0.2858895
American Samoa,ASM,Regulatory Quality: Number of Sources,RQ.NO.SRC,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,ASM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,..,..,..,..,..,66.50246,62.2549,61.76471,63.1068,63.59223,64.11483,64.11483,62.55924,62.08531,63.50711,57.69231,58.65385,58.65385,42.78846,40.86538
American Samoa,ASM,Regulatory Quality: Standard Error,RQ.STD.ERR,..,..,..,..,..,0.320425,0.2133106,0.3054609,0.3662245,0.3820176,0.4129339,0.4604832,0.4637991,0.503709,0.5010512,0.5074959,0.4604612,0.4862972,0.4686498,0.4940268
American Samoa,ASM,Rule of Law: Estimate,RL.EST,..,..,..,..,..,0.8533667,1.11975,1.080184,1.105124,1.127511,1.13165,1.117741,1.098715,1.102443,1.108083,1.410083,1.34524,1.340423,1.357684,1.363964
American Samoa,ASM,Rule of Law: Number of Sources,RL.NO.SRC,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,ASM,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,..,..,75.59808,85.64594,85.64594,85.16747,85.09615,85.30806,84.83412,84.97652,85.44601,85.44601,87.5,87.98077,87.98077,88.46154,87.98077
American Samoa,ASM,Rule of Law: Standard Error,RL.STD.ERR,..,..,..,..,..,0.3500574,0.3666447,0.4076685,0.3842792,0.3585834,0.3988745,0.4119611,0.4131565,0.3989472,0.3877265,0.5184611,0.5006004,0.5139297,0.4839529,0.4841593
American Samoa,ASM,Voice and Accountability: Estimate,VA.EST,..,..,..,..,..,0.503726,0.6543325,0.5484632,0.9721289,0.9671982,0.9638122,0.9882845,1.009052,1.025672,1.004767,..,..,..,..,..
American Samoa,ASM,Voice and Accountability: Number of Sources,VA.NO.SRC,..,..,..,..,..,1,1,1,1,1,1,1,1,1,1,..,..,..,..,..
American Samoa,ASM,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..,64.42308,70.67308,65.38461,78.36539,79.32692,77.25118,78.19905,78.87324,80.75117,81.22066,..,..,..,..,..
American Samoa,ASM,Voice and Accountability: Standard Error,VA.STD.ERR,..,..,..,..,..,0.3388224,0.3576024,0.4918489,0.5116558,0.5111722,0.5001007,0.4787296,0.4489484,0.4298852,0.4573736,..,..,..,..,..
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.318143,1.377704,1.359712,1.349896,1.37669,1.137412,1.278153,1.259531,1.269965,1.288655,1.325579,1.308072,1.279277,1.268373,1.260798,1.225222,1.218502,1.228779,1.242215,1.238614
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.414038,1.46205,1.446284,1.423874,1.410648,1.524566,1.292862,1.543035,1.508254,1.537209,1.540096,1.518033,1.504689,1.531356,1.539397,1.718336,1.787205,1.860587,1.937282,1.944976
Andorra,AND,Government Effectiveness: Number of Sources,GE.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,88.52459,88.60104,88.71795,88.77551,88.77551,90.14778,88.23529,89.7561,90.29126,90.7767,91.86603,89.95216,90.52132,91.46919,91.94313,94.23077,95.67308,98.07692,98.55769,98.55769
Andorra,AND,Control of Corruption: Number of Sources,CC.NO.SRC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,87.09677,89.17525,88.83249,88.38383,88.88889,84.39024,88.29269,88.29269,88.83495,87.86407,88.03828,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846
Andorra,AND,Control of Corruption: Standard Error,CC.STD.ERR,0.4808887,0.4617725,0.4734834,0.4365705,0.4033458,0.3959056,0.3415666,0.4198855,0.4162902,0.4029876,0.4274964,0.4315847,0.418033,0.4335781,0.442314,0.42467,0.421867,0.4225169,0.4016715,0.4023822
Andorra,AND,Government Effectiveness: Standard Error,GE.STD.ERR,0.1876176,0.310279,0.3430663,0.2995045,0.36345,0.4110788,0.30696,0.4337758,0.469347,0.4522182,0.4234263,0.4493661,0.4345975,0.4002086,0.3826276,0.467869,0.4479652,0.4350327,0.4470602,0.4585745
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.170157,1.183645,1.167002,1.282039,1.464986,1.401487,1.384696,1.348995,1.340644,1.337765,1.296418,1.278272,1.302488,1.290351,1.283926,1.286593,1.391288,1.413419,1.421572,1.425432
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,89.3617,90.42553,86.77248,92.59259,98.49246,98.05825,99.02913,98.55073,98.55073,98.07692,94.3128,93.83886,95.7346,94.78673,93.83886,96.66666,97.61905,97.14286,97.14286,97.61905
